ID,State,City,Death,Injury,School Type,Name School,Day,Year,Month Name,Month
1,Alabama,Birmingham,0,0,Middle,Ossie Ware Mitchell Middle School,14,2013,May,5
2,Alabama,Birmingham,1,2,High,Huffman High School,7,2018,Mar,3
3,Alabama,Birmingham,2,1,University,University of Alabama at Birmingham,14,2018,Mar,3
4,Alabama,Blounstville,0,1,Elementary,Blountsville Elementary School,22,2019,Mar,3
5,Alabama,Huntsville,3,3,University,University of Alabama,12,2010,Feb,2
6,Alabama,Madison,1,0,Middle,Discovery Middle School,5,2010,Feb,2
7,Alabama,Mobile,0,1,High,Vigor High School,11,2016,Oct,10
8,Alabama,Mobile,0,1,University,University of South Alabama,8,2018,Mar,3
9,Alabama,Mobile,0,2,High,Davidson High School,25,2019,Jan,1
10,Alabama,Montgomery,0,1,High,Robert E. Lee High School,26,2019,Feb,2
11,Arizona,Flagstaff,1,3,University,Northern Arizona University,9,2015,Oct,10
12,Arizona,Glendale,2,0,High,Independence High School,12,2016,Feb,2
13,Arizona,Tucson,4,0,University,University of Arizona,28,2002,Oct,10
14,Arkansas,Conway,2,1,University,University of Central Arkansas,26,2008,Oct,10
15,Arkansas,Fayetteville,2,0,University,University of Arkansas,28,2000,Aug,8
16,Arkansas,Jonesboro,0,1,University,Arkansas State University ,23,2008,Jan,1
17,Arkansas,Little Rock,0,1,University,University of Arkansas ,27,2008,Feb,2
18,Arkansas,Prescott,0,1,High,Prescott High School,1,2019,Apr,4
19,California,Belmont,1,0,Elementary,Central Elementary School,7,2019,Jan,1
20,California,Carlsbad,0,2,Elementary,Kelly Elementary School,8,2010,Oct,10
21,California,Compton,0,1,High,Centennial High School,7,2007,Mar,3
22,California,El Cajon,0,5,High,Granite Hills High School,22,2001,Mar,3
23,California,Fresno,0,1,High,Edison High School,19,2013,Dec,12
24,California,King City,0,1,High,King City High School,21,2017,Mar,3
25,California,Los Angeles,0,4,University,University of Southern California,31,2012,Oct,10
26,California,Los Angeles,1,0,College,Los Angeles Valley College,25,2014,Jan,1
27,California,Los Angeles,0,1,University,University of Southern California,12,2014,Feb,2
28,California,Los Angeles,3,0,University,University of California,1,2016,Jun,6
29,California,Los Angeles,0,5,High,Belmont High School,1,2018,Feb,2
30,California,Merced,1,0,Middle,Tenaya Middle School,14,2015,Feb,2
31,California,Oakland,7,3,University,Oikos University,2,2012,Apr,4
32,California,Oxnard,1,0,Elementary,E.O. Green Junior High School,12,2008,Feb,2
33,California,Palmdale,0,1,High,Highland High School,11,2018,May,5
34,California,Rancho Tehama Reserve,6,18,Elementary,Rancho Tehama Elementary School,14,2017,Nov,11
35,California,Richmond,0,1,High,John F. Kennedy High School,14,2014,May,5
36,California,Sacramento,1,2,College,Sacramento City College,3,2015,Sep,9
37,California,Salinas,1,0,High,Alisal High School ,1,2010,Oct,10
38,California,San Bernardino,3,1,Elementary,North Park Elementary School,10,2017,Apr,4
39,California,San Bruno,0,1,College ,Skyline College ,3,2009,Sep,9
40,California,San Diego,0,1,High,Junipero Serra High School ,1,2000,Dec,12
41,California,San Francisco,0,3,High,International Studies Academy,16,2009,Jun,6
42,California,San Francisco,0,4,High,June Jordan High School ,18,2016,Oct,10
43,California,San Francisco,0,1,High,Balboa High School,30,2018,Aug,8
44,California,Santa Monica,6,4,College,Santa Monica College,7,2013,Jun,6
45,California,Santee,2,13,High,Santana High School,5,2001,Mar,3
46,California,Seaside,0,1,High,Seaside High School,13,2018,Mar,3
47,California,Taft,0,2,High,Taft Union High School,10,2013,Jan,1
48,Colorado,Arapahoe County,1,0,High,Eaglecrest High School,17,2019,Feb,2
49,Colorado,Aurora,0,1,High,Aurora Central High School,6,2010,Dec,12
50,Colorado,Bailey,2,0,High,Platte Canyon High School ,27,2006,Sep,9
51,Colorado,Centennial,2,0,High,Arapahoe High School,13,2013,Dec,12
53,Colorado,Littleton,0,2,Middle,Deer Creek Middle School,23,2010,Feb,2
54,Connecticut,New Haven,0,1,High,Hillhouse High School ,13,2014,Jan,1
55,Connecticut,Newtown,28,2,Elementary,Sandy Hook Elementary School,14,2012,Dec,12
57,Delaware,Dover,1,1,University,Delaware State University ,21,2007,Sep,9
56,DistricofColumbia,Washington,1,0,High,Ballou High School ,2,2004,Feb,2
58,Florida,Daytona Beach,0,3,University,Bethune-Cookman University ,23,2015,Feb,2
59,Florida,Fort Lauderdale,1,0,High,Dillard High School,12,2008,Nov,11
62,Florida,Lake Worth,1,0,Middle,Lake Worth Middle School ,26,2000,May,5
63,Florida,Miami,0,1,High,Stellar Leadership Academy,9,2014,Sep,9
64,Florida,Miami,1,1,High,Miami Carol City High School,20,2014,Nov,11
65,Florida,Miami,0,0,University,Florida International University ,3,2019,Jan,1
66,Florida,Miami Gardens,0,1,High,Miami Carol City High School,11,2008,Feb,2
67,Florida,Ocala,0,2,High,Vanguard High School,16,2015,Jan,1
68,Florida,Ocala,0,1,High,Forest High School,20,2018,Apr,4
